disease,disease_id,donor,region_id,region,broad_score,stringent_score,weighted_score,n_broad_genes_observed,n_stringent_genes_observed,n_weighted_genes_observed
Migraine,migraine,15697,13,Rolandic Oper L,0.49544320736305075,0.45750297927011946,0.47928464273358573,167,41,167
Migraine,migraine,15697,14,Rolandic Oper R,,,,0,0,0
Migraine,migraine,15697,15,Supp Motor Area L,0.4594333691810479,0.46833734710539393,0.4570929668024937,167,41,167
Migraine,migraine,15697,16,Supp Motor Area R,,,,0,0,0
Migraine,migraine,15697,17,Olfactory L,,,,0,0,0
Migraine,migraine,15697,18,Olfactory R,,,,0,0,0
Migraine,migraine,15697,19,Frontal Sup Medial L,0.5310332009956114,0.5423366081265465,0.5312483017158312,167,41,167
Migraine,migraine,15697,20,Frontal Sup Medial R,,,,0,0,0
Migraine,migraine,15697,21,Frontal Med Orb L,0.39085193020160997,0.43460894155434476,0.3977141796433982,167,41,167
Migraine,migraine,15697,22,Frontal Med Orb R,,,,0,0,0
Migraine,migraine,15697,23,Rectus L,0.5362200093422727,0.5669850322152299,0.5453355956136241,167,41,167
Migraine,migraine,15697,24,Rectus R,,,,0,0,0
Migraine,migraine,15697,25,OFCmed L,0.48106706627845297,0.4693341391614347,0.4691164976978464,167,41,167
Migraine,migraine,15697,26,OFCmed R,,,,0,0,0
Migraine,migraine,15697,27,OFCant L,0.5696390614413879,0.5657731711762126,0.5725372400430317,167,41,167
Migraine,migraine,15697,28,OFCant R,,,,0,0,0
Migraine,migraine,15697,29,OFCpost L,0.4746091187307477,0.47304241846877926,0.4619322463292248,167,41,167
Migraine,migraine,15697,30,OFCpost R,,,,0,0,0
Migraine,migraine,15697,31,OFClat L,0.48221882039321345,0.4930689629584765,0.47751999906482906,167,41,167
Migraine,migraine,15697,32,OFClat R,,,,0,0,0
Migraine,migraine,15697,33,Insula L,0.5029412494369667,0.5207193943156355,0.500177573831156,167,41,167
Migraine,migraine,15697,34,Insula R,,,,0,0,0
Migraine,migraine,15697,37,Cingulate Mid L,0.49499154498516107,0.5065510653603924,0.49633958909708337,167,41,167
Migraine,migraine,15697,38,Cingulate Mid R,,,,0,0,0
Migraine,migraine,15697,39,Cingulate Post L,0.5371931393972004,0.530026964008192,0.53117081704616,167,41,167
Migraine,migraine,15697,41,Hippocampus L,0.49249151326549456,0.5053702934029936,0.4930773532145026,167,41,167
Migraine,migraine,15697,42,Hippocampus R,,,,0,0,0
Migraine,migraine,15697,43,ParaHippocampal L,0.5273020196232587,0.5657659204737452,0.5457677105299708,167,41,167
Migraine,migraine,15697,44,ParaHippocampal R,,,,0,0,0
Migraine,migraine,15697,45,Amygdala L,0.4939865597887315,0.48969045770918435,0.4928992507282198,167,41,167
Migraine,migraine,15697,46,Amygdala R,,,,0,0,0
Migraine,migraine,15697,47,Calcarine L,0.5253085562522498,0.5253006555769594,0.5237895261502121,167,41,167
Migraine,migraine,15697,48,Calcarine R,,,,0,0,0
Migraine,migraine,15697,49,Cuneus L,0.5347277190591688,0.5402192840985044,0.5345763933493526,167,41,167
Migraine,migraine,15697,51,Lingual L,0.532282159437949,0.5357230921163137,0.535068528695995,167,41,167
Migraine,migraine,15697,52,Lingual R,,,,0,0,0
Migraine,migraine,15697,53,Occipital Sup L,0.49950715907053783,0.45786188044252263,0.4773161596991062,167,41,167
Migraine,migraine,15697,55,Occipital Mid L,0.5439534168387187,0.5411755171535085,0.5468818141622913,167,41,167
Migraine,migraine,15697,56,Occipital Mid R,,,,0,0,0
Migraine,migraine,15697,57,Occipital Inf L,0.5230391213530164,0.5671336074688139,0.5414442062864184,167,41,167
Migraine,migraine,15697,58,Occipital Inf R,,,,0,0,0
Migraine,migraine,15697,59,Fusiform L,0.5172799488890971,0.5102923324580176,0.5166903427489589,167,41,167
Migraine,migraine,15697,60,Fusiform R,,,,0,0,0
Migraine,migraine,15697,61,Postcentral L,0.5079913023561855,0.484793138441992,0.4966290740903681,167,41,167
Migraine,migraine,15697,62,Postcentral R,,,,0,0,0
Migraine,migraine,15697,63,Parietal Sup L,0.5161938440831854,0.48803759106407535,0.5049184648789987,167,41,167
Migraine,migraine,15697,64,Parietal Sup R,,,,0,0,0
Migraine,migraine,15697,65,Parietal Inf L,0.5118316861473666,0.48838519409907855,0.5035088220559362,167,41,167
Migraine,migraine,15697,66,Parietal Inf R,,,,0,0,0
Migraine,migraine,15697,67,SupraMarginal L,0.37189451605941815,0.36939093595083317,0.3721480658251445,167,41,167
Migraine,migraine,15697,68,SupraMarginal R,,,,0,0,0
Migraine,migraine,15697,69,Angular L,,,,0,0,0
Migraine,migraine,15697,70,Angular R,,,,0,0,0
Migraine,migraine,15697,71,Precuneus L,0.4735324871569979,0.46578807352083496,0.46530137016937556,167,41,167
Migraine,migraine,15697,72,Precuneus R,,,,0,0,0
Migraine,migraine,15697,73,Paracentral Lobule L,0.49803278536453943,0.5095236885109202,0.49562002455465565,167,41,167
Migraine,migraine,15697,74,Paracentral Lobule R,,,,0,0,0
Migraine,migraine,15697,75,Caudate L,0.5126369862543126,0.5222366875742399,0.5179896154450567,167,41,167
Migraine,migraine,15697,76,Caudate R,,,,0,0,0
Migraine,migraine,15697,77,Putamen L,0.5084619897842549,0.5172601896804516,0.5175887054873523,167,41,167
Migraine,migraine,15697,78,Putamen R,,,,0,0,0
Migraine,migraine,15697,79,Pallidum L,0.5222049641852603,0.5092086721584861,0.5195008769814233,167,41,167
Migraine,migraine,15697,80,Pallidum R,,,,0,0,0
Migraine,migraine,15697,83,Heschl L,0.5507512688321631,0.5650323359549029,0.550585602494131,167,41,167
Migraine,migraine,15697,84,Heschl R,,,,0,0,0
Migraine,migraine,15697,85,Temporal Sup L,0.4694989052943954,0.46116476002636403,0.46329430290566276,167,41,167
